350010 ADAMANTINA;40
350020 ADOLFO;5
350030 AGUAI;24
350040 AGUAS DA PRATA;6
350050 AGUAS DE LINDOIA;46
350055 AGUAS DE SANTA BARBARA;4
350060 AGUAS DE SAO PEDRO;8
350070 AGUDOS;34
350075 ALAMBARI;5
350080 ALFREDO MARCONDES;5
350090 ALTAIR;4
350100 ALTINOPOLIS;18
350110 ALTO ALEGRE;10
350115 ALUMINIO;8
350120 ALVARES FLORENCE;4
350130 ALVARES MACHADO;30
350140 ALVARO DE CARVALHO;4
350150 ALVINLANDIA;7
350160 AMERICANA;153
350170 AMERICO BRASILIENSE;16
350180 AMERICO DE CAMPOS;7
350190 AMPARO;72
350200 ANALANDIA;1
350210 ANDRADINA;65
350220 ANGATUBA;34
350230 ANHEMBI;1
350240 ANHUMAS;4
350250 APARECIDA;38
350260 APARECIDA D'OESTE;7
350270 APIAI;16
350275 ARACARIGUAMA;23
350280 ARACATUBA;209
350290 ARACOIABA DA SERRA;37
350300 ARAMINA;10
350310 ARANDU;5
350315 ARAPEI;4
350320 ARARAQUARA;221
350330 ARARAS;75
350335 ARCO-IRIS;1
350340 AREALVA;8
350350 AREIAS;7
350360 AREIOPOLIS;3
350370 ARIRANHA;2
350380 ARTUR NOGUEIRA;44
350390 ARUJA;66
350395 ASPASIA;4
350400 ASSIS;97
350410 ATIBAIA;132
350420 AURIFLAMA;17
350430 AVAI;3
350440 AVANHANDAVA;12
350450 AVARE;68
350460 BADY BASSITT;25
350470 BALBINOS;1
350480 BALSAMO;14
350490 BANANAL;7
350510 BARBOSA;3
350520 BARIRI;33
350530 BARRA BONITA;33
350535 BARRA DO CHAPEU;7
350540 BARRA DO TURVO;8
350550 BARRETOS;107
350560 BARRINHA;8
350570 BARUERI;226
350580 BASTOS;27
350590 BATATAIS;65
350600 BAURU;300
350610 BEBEDOURO;73
350620 BENTO DE ABREU;4
350630 BERNARDINO DE CAMPOS;12
350635 BERTIOGA;37
350640 BILAC;11
350650 BIRIGUI;122
350660 BIRITIBA-MIRIM;22
350670 BOA ESPERANCA DO SUL;14
350680 BOCAINA;16
350690 BOFETE;12
350700 BOITUVA;46
350710 BOM JESUS DOS PERDOES;9
350715 BOM SUCESSO DE ITARARE;2
350720 BORA;1
350730 BORACEIA;12
350740 BORBOREMA;12
350745 BOREBI;1
350750 BOTUCATU;139
350760 BRAGANCA PAULISTA;176
350770 BRAUNA;5
350780 BRODOWSKI;25
350790 BROTAS;18
350800 BURI;13
350810 BURITAMA;13
350820 BURITIZAL;5
350830 CABRALIA PAULISTA;4
350840 CABREUVA;25
350850 CACAPAVA;91
350860 CACHOEIRA PAULISTA;32
350870 CACONDE;21
350880 CAFELANDIA;22
350890 CAIABU;3
350900 CAIEIRAS;66
350910 CAIUA;2
350920 CAJAMAR;57
350925 CAJATI;14
350930 CAJOBI;3
350940 CAJURU;31
350945 CAMPINA DO MONTE ALEGRE;6
350950 CAMPINAS;769
350960 CAMPO LIMPO PAULISTA;52
350970 CAMPOS DO JORDAO;30
350980 CAMPOS NOVOS PAULISTA;10
350990 CANANEIA;11
350995 CANAS;1
351000 CANDIDO MOTA;45
351010 CANDIDO RODRIGUES;4
351015 CANITAR;3
351020 CAPAO BONITO;40
351030 CAPELA DO ALTO;23
351040 CAPIVARI;64
351050 CARAGUATATUBA;89
351060 CARAPICUIBA;239
351070 CARDOSO;16
351080 CASA BRANCA;35
351100 CASTILHO;23
351110 CATANDUVA;86
351120 CATIGUA;2
351130 CEDRAL;10
351140 CERQUEIRA CESAR;17
351150 CERQUILHO;30
351160 CESARIO LANGE;12
351170 CHARQUEADA;6
351190 CLEMENTINA;10
351200 COLINA;23
351210 COLOMBIA;6
351220 CONCHAL;8
351230 CONCHAS;21
351240 CORDEIROPOLIS;11
351250 COROADOS;7
351260 CORONEL MACEDO;7
351270 CORUMBATAI;1
351280 COSMOPOLIS;37
351290 COSMORAMA;7
351300 COTIA;197
351310 CRAVINHOS;20
351320 CRISTAIS PAULISTA;6
351330 CRUZALIA;5
351340 CRUZEIRO;64
351350 CUBATAO;77
351360 CUNHA;29
351370 DESCALVADO;41
351380 DIADEMA;248
351385 DIRCE REIS;1
351390 DIVINOLANDIA;30
351400 DOBRADA;7
351410 DOIS CORREGOS;46
351420 DOLCINOPOLIS;4
351430 DOURADO;13
351440 DRACENA;45
351450 DUARTINA;32
351460 DUMONT;3
351470 ECHAPORA;4
351480 ELDORADO;3
351490 ELIAS FAUSTO;7
351492 ELISIARIO;4
351495 EMBAUBA;5
351500 EMBU DAS ARTES;194
351510 EMBU-GUACU;79
351512 EMILIANOPOLIS;2
351515 ENGENHEIRO COELHO;7
351518 ESPIRITO SANTO DO PINHAL;26
351519 ESPIRITO SANTO DO TURVO;2
351520 ESTRELA D'OESTE;8
351530 ESTRELA DO NORTE;2
351535 EUCLIDES DA CUNHA PAULISTA;5
351540 FARTURA;21
351550 FERNANDOPOLIS;65
351560 FERNANDO PRESTES;4
351565 FERNAO;1
351570 FERRAZ DE VASCONCELOS;117
351580 FLORA RICA;2
351590 FLOREAL;2
351600 FLORIDA PAULISTA;12
351610 FLORINIA;2
351620 FRANCA;275
351630 FRANCISCO MORATO;89
351640 FRANCO DA ROCHA;90
351650 GABRIEL MONTEIRO;3
351660 GALIA;7
351670 GARCA;54
351680 GASTAO VIDIGAL;3
351685 GAVIAO PEIXOTO;2
351690 GENERAL SALGADO;8
351700 GETULINA;11
351710 GLICERIO;4
351720 GUAICARA;14
351730 GUAIMBE;8
351740 GUAIRA;37
351750 GUAPIACU;18
351760 GUAPIARA;13
351770 GUARA;9
351780 GUARACAI;6
351790 GUARACI;5
351800 GUARANI D'OESTE;3
351810 GUARANTA;10
351820 GUARARAPES;36
351830 GUARAREMA;13
351840 GUARATINGUETA;96
351850 GUAREI;8
351860 GUARIBA;24
351870 GUARUJA;179
351880 GUARULHOS;999
351885 GUATAPARA;3
351890 GUZOLANDIA;6
351900 HERCULANDIA;16
351905 HOLAMBRA;12
351907 HORTOLANDIA;132
351910 IACANGA;19
351920 IACRI;7
351925 IARAS;10
351930 IBATE;22
351940 IBIRA;14
351950 IBIRAREMA;11
351960 IBITINGA;48
351970 IBIUNA;65
351980 ICEM;15
351990 IEPE;5
352000 IGARACU DO TIETE;18
352010 IGARAPAVA;21
352020 IGARATA;8
352030 IGUAPE;21
352040 ILHABELA;10
352042 ILHA COMPRIDA;17
352044 ILHA SOLTEIRA;55
352050 INDAIATUBA;153
352060 INDIANA;7
352070 INDIAPORA;2
352080 INUBIA PAULISTA;5
352090 IPAUSSU;34
352100 IPERO;24
352110 IPEUNA;4
352115 IPIGUA;4
352120 IPORANGA;4
352130 IPUA;9
352140 IRACEMAPOLIS;15
352150 IRAPUA;12
352160 IRAPURU;9
352170 ITABERA;19
352180 ITAI;18
352190 ITAJOBI;17
352200 ITAJU;7
352210 ITANHAEM;107
352215 ITAOCA;2
352220 ITAPECERICA DA SERRA;117
352230 ITAPETININGA;160
352240 ITAPEVA;74
352250 ITAPEVI;141
352260 ITAPIRA;66
352265 ITAPIRAPUA PAULISTA;4
352270 ITAPOLIS;51
352280 ITAPORANGA;17
352290 ITAPUI;15
352300 ITAPURA;9
352310 ITAQUAQUECETUBA;168
352320 ITARARE;36
352330 ITARIRI;8
352340 ITATIBA;93
352350 ITATINGA;18
352360 ITIRAPINA;14
352370 ITIRAPUA;1
352380 ITOBI;14
352390 ITU;117
352400 ITUPEVA;24
352410 ITUVERAVA;33
352420 JABORANDI;7
352430 JABOTICABAL;67
352440 JACAREI;150
352450 JACI;8
352460 JACUPIRANGA;11
352470 JAGUARIUNA;38
352480 JALES;45
352490 JAMBEIRO;2
352500 JANDIRA;65
352510 JARDINOPOLIS;30
352520 JARINU;21
352530 JAU;154
352540 JERIQUARA;3
352550 JOANOPOLIS;14
352560 JOAO RAMALHO;4
352570 JOSE BONIFACIO;45
352580 JULIO MESQUITA;6
352585 JUMIRIM;3
352590 JUNDIAI;327
352600 JUNQUEIROPOLIS;22
352610 JUQUIA;19
352620 JUQUITIBA;34
352630 LAGOINHA;7
352640 LARANJAL PAULISTA;25
352650 LAVINIA;2
352660 LAVRINHAS;7
352670 LEME;94
352680 LENCOIS PAULISTA;60
352690 LIMEIRA;189
352700 LINDOIA;18
352710 LINS;97
352720 LORENA;71
352725 LOURDES;5
352730 LOUVEIRA;16
352740 LUCELIA;13
352750 LUCIANOPOLIS;1
352760 LUIS ANTONIO;5
352770 LUIZIANIA;5
352780 LUPERCIO;3
352790 LUTECIA;1
352800 MACATUBA;22
352810 MACAUBAL;18
352820 MACEDONIA;2
352830 MAGDA;4
352840 MAIRINQUE;27
352850 MAIRIPORA;82
352860 MANDURI;11
352870 MARABA PAULISTA;4
352880 MARACAI;9
352885 MARAPOAMA;3
352890 MARIAPOLIS;4
352900 MARILIA;193
352910 MARINOPOLIS;1
352920 MARTINOPOLIS;23
352930 MATAO;103
352940 MAUA;269
352950 MENDONCA;12
352960 MERIDIANO;3
352965 MESOPOLIS;3
352970 MIGUELOPOLIS;22
352980 MINEIROS DO TIETE;11
352990 MIRACATU;20
353000 MIRA ESTRELA;1
353010 MIRANDOPOLIS;27
353020 MIRANTE DO PARANAPANEMA;20
353030 MIRASSOL;40
353040 MIRASSOLANDIA;3
353050 MOCOCA;98
353060 MOGI DAS CRUZES;171
353070 MOGI GUACU;86
353080 MOGI MIRIM;81
353090 MOMBUCA;5
353100 MONCOES;2
353110 MONGAGUA;85
353120 MONTE ALEGRE DO SUL;8
353130 MONTE ALTO;55
353140 MONTE APRAZIVEL;26
353150 MONTE AZUL PAULISTA;17
353160 MONTE CASTELO;5
353170 MONTEIRO LOBATO;6
353180 MONTE MOR;29
353190 MORRO AGUDO;22
353200 MORUNGABA;15
353205 MOTUCA;2
353210 MURUTINGA DO SUL;3
353215 NANTES;2
353220 NARANDIBA;3
353230 NATIVIDADE DA SERRA;5
353240 NAZARE PAULISTA;20
353250 NEVES PAULISTA;12
353260 NHANDEARA;19
353270 NIPOA;7
353280 NOVA ALIANCA;11
353282 NOVA CAMPINA;4
353284 NOVA CANAA PAULISTA;3
353290 NOVA EUROPA;9
353300 NOVA GRANADA;21
353310 NOVA GUATAPORANGA;2
353320 NOVA INDEPENDENCIA;7
353325 NOVAIS;6
353330 NOVA LUZITANIA;1
353340 NOVA ODESSA;35
353350 NOVO HORIZONTE;40
353360 NUPORANGA;6
353370 OCAUCU;8
353380 OLEO;2
353390 OLIMPIA;25
353400 ONDA VERDE;2
353410 ORIENTE;4
353420 ORINDIUVA;6
353430 ORLANDIA;24
353440 OSASCO;483
353450 OSCAR BRESSANE;4
353460 OSVALDO CRUZ;28
353470 OURINHOS;105
353475 OUROESTE;13
353480 OURO VERDE;6
353490 PACAEMBU;21
353500 PALESTINA;10
353510 PALMARES PAULISTA;6
353520 PALMEIRA D'OESTE;10
353530 PALMITAL;28
353540 PANORAMA;7
353550 PARAGUACU PAULISTA;72
353560 PARAIBUNA;10
353570 PARAISO;10
353580 PARANAPANEMA;13
353590 PARANAPUA;7
353600 PARAPUA;7
353610 PARDINHO;7
353620 PARIQUERA-ACU;16
353625 PARISI;2
353630 PATROCINIO PAULISTA;10
353640 PAULICEIA;4
353650 PAULINIA;52
353660 PAULO DE FARIA;11
353670 PEDERNEIRAS;29
353680 PEDRA BELA;6
353690 PEDRANOPOLIS;5
353700 PEDREGULHO;12
353710 PEDREIRA;38
353715 PEDRINHAS PAULISTA;3
353720 PEDRO DE TOLEDO;8
353730 PENAPOLIS;77
353740 PEREIRA BARRETO;29
353750 PEREIRAS;5
353760 PERUIBE;73
353770 PIACATU;5
353780 PIEDADE;67
353790 PILAR DO SUL;22
353800 PINDAMONHANGABA;172
353810 PINDORAMA;16
353820 PINHALZINHO;21
353830 PIQUEROBI;3
353850 PIQUETE;18
353860 PIRACAIA;31
353870 PIRACICABA;214
353880 PIRAJU;38
353890 PIRAJUI;46
353900 PIRANGI;21
353910 PIRAPORA DO BOM JESUS;8
353920 PIRAPOZINHO;29
353930 PIRASSUNUNGA;49
353940 PIRATININGA;15
353950 PITANGUEIRAS;22
353960 PLANALTO;3
353970 PLATINA;2
353980 POA;71
353990 POLONI;11
354000 POMPEIA;22
354010 PONGAI;6
354020 PONTAL;22
354025 PONTALINDA;3
354030 PONTES GESTAL;3
354040 POPULINA;4
354050 PORANGABA;8
354060 PORTO FELIZ;54
354070 PORTO FERREIRA;52
354075 POTIM;19
354080 POTIRENDABA;22
354085 PRACINHA;6
354090 PRADOPOLIS;10
354100 PRAIA GRANDE;299
354105 PRATANIA;3
354110 PRESIDENTE ALVES;8
354120 PRESIDENTE BERNARDES;14
354130 PRESIDENTE EPITACIO;32
354140 PRESIDENTE PRUDENTE;227
354150 PRESIDENTE VENCESLAU;33
354160 PROMISSAO;51
354165 QUADRA;3
354170 QUATA;12
354180 QUEIROZ;1
354190 QUELUZ;8
354200 QUINTANA;7
354210 RAFARD;12
354220 RANCHARIA;26
354230 REDENCAO DA SERRA;6
354240 REGENTE FEIJO;16
354250 REGINOPOLIS;7
354260 REGISTRO;47
354270 RESTINGA;6
354280 RIBEIRA;3
354290 RIBEIRAO BONITO;14
354300 RIBEIRAO BRANCO;16
354310 RIBEIRAO CORRENTE;6
354320 RIBEIRAO DO SUL;2
354323 RIBEIRAO DOS INDIOS;3
354325 RIBEIRAO GRANDE;5
354330 RIBEIRAO PIRES;79
354340 RIBEIRAO PRETO;229
354350 RIVERSUL;4
354360 RIFAINA;4
354370 RINCAO;12
354380 RINOPOLIS;11
354390 RIO CLARO;193
354400 RIO DAS PEDRAS;16
354410 RIO GRANDE DA SERRA;48
354420 RIOLANDIA;7
354425 ROSANA;15
354430 ROSEIRA;9
354440 RUBIACEA;1
354450 RUBINEIA;4
354460 SABINO;10
354470 SAGRES;3
354480 SALES;6
354490 SALES OLIVEIRA;7
354500 SALESOPOLIS;8
354510 SALMOURAO;3
354515 SALTINHO;6
354520 SALTO;98
354530 SALTO DE PIRAPORA;48
354540 SALTO GRANDE;15
354550 SANDOVALINA;3
354560 SANTA ADELIA;13
354570 SANTA ALBERTINA;12
354580 SANTA BARBARA D'OESTE;117
354600 SANTA BRANCA;10
354610 SANTA CLARA D'OESTE;2
354620 SANTA CRUZ DA CONCEICAO;5
354625 SANTA CRUZ DA ESPERANCA;4
354630 SANTA CRUZ DAS PALMEIRAS;24
354640 SANTA CRUZ DO RIO PARDO;40
354650 SANTA ERNESTINA;3
354660 SANTA FE DO SUL;34
354670 SANTA GERTRUDES;13
354680 SANTA ISABEL;39
354690 SANTA LUCIA;6
354700 SANTA MARIA DA SERRA;2
354710 SANTA MERCEDES;4
354720 SANTANA DA PONTE PENSA;4
354730 SANTANA DE PARNAIBA;88
354740 SANTA RITA D'OESTE;1
354750 SANTA RITA DO PASSA QUATRO;32
354760 SANTA ROSA DE VITERBO;17
354765 SANTA SALETE;1
354770 SANTO ANASTACIO;13
354780 SANTO ANDRE;644
354790 SANTO ANTONIO DA ALEGRIA;7
354800 SANTO ANTONIO DE POSSE;21
354805 SANTO ANTONIO DO ARACANGUA;8
354810 SANTO ANTONIO DO JARDIM;4
354820 SANTO ANTONIO DO PINHAL;5
354830 SANTO EXPEDITO;1
354840 SANTOPOLIS DO AGUAPEI;3
354850 SANTOS;427
354860 SAO BENTO DO SAPUCAI;10
354870 SAO BERNARDO DO CAMPO;526
354880 SAO CAETANO DO SUL;159
354890 SAO CARLOS;142
354900 SAO FRANCISCO;3
354910 SAO JOAO DA BOA VISTA;76
354920 SAO JOAO DAS DUAS PONTES;3
354930 SAO JOAO DO PAU D'ALHO;1
354940 SAO JOAQUIM DA BARRA;41
354950 SAO JOSE DA BELA VISTA;8
354960 SAO JOSE DO BARREIRO;2
354970 SAO JOSE DO RIO PARDO;84
354980 SAO JOSE DO RIO PRETO;442
354990 SAO JOSE DOS CAMPOS;439
354995 SAO LOURENCO DA SERRA;16
355000 SAO LUIS DO PARAITINGA;6
355010 SAO MANUEL;34
355020 SAO MIGUEL ARCANJO;30
355030 SAO PAULO;10817
355040 SAO PEDRO;35
355050 SAO PEDRO DO TURVO;6
355060 SAO ROQUE;70
355070 SAO SEBASTIAO;45
355080 SAO SEBASTIAO DA GRAMA;16
355090 SAO SIMAO;9
355100 SAO VICENTE;305
355110 SARAPUI;14
355120 SARUTAIA;4
355130 SEBASTIANOPOLIS DO SUL;2
355140 SERRA AZUL;9
355150 SERRANA;22
355160 SERRA NEGRA;27
355170 SERTAOZINHO;81
355180 SETE BARRAS;12
355190 SEVERINIA;12
355200 SILVEIRAS;5
355210 SOCORRO;34
355220 SOROCABA;396
355230 SUD MENNUCCI;9
355240 SUMARE;163
355250 SUZANO;193
355255 SUZANAPOLIS;6
355260 TABAPUA;11
355270 TABATINGA;12
355280 TABOAO DA SERRA;127
355290 TACIBA;7
355300 TAGUAI;14
355310 TAIACU;5
355320 TAIUVA;5
355330 TAMBAU;15
355340 TANABI;35
355350 TAPIRAI;10
355360 TAPIRATIBA;14
355365 TAQUARAL;1
355370 TAQUARITINGA;53
355380 TAQUARITUBA;23
355385 TAQUARIVAI;3
355390 TARABAI;13
355395 TARUMA;15
355400 TATUI;126
355410 TAUBATE;258
355420 TEJUPA;5
355430 TEODORO SAMPAIO;13
355440 TERRA ROXA;9
355450 TIETE;27
355460 TIMBURI;1
355465 TORRE DE PEDRA;2
355470 TORRINHA;10
355475 TRABIJU;3
355480 TREMEMBE;45
355490 TRES FRONTEIRAS;4
355495 TUIUTI;10
355500 TUPA;70
355510 TUPI PAULISTA;14
355520 TURIUBA;3
355530 TURMALINA;2
355535 UBARANA;4
355540 UBATUBA;57
355550 UBIRAJARA;2
355560 UCHOA;10
355570 UNIAO PAULISTA;5
355580 URANIA;13
355590 URU;1
355600 URUPES;10
355610 VALENTIM GENTIL;11
355620 VALINHOS;74
355630 VALPARAISO;27
355635 VARGEM;9
355640 VARGEM GRANDE DO SUL;42
355645 VARGEM GRANDE PAULISTA;38
355650 VARZEA PAULISTA;63
355660 VERA CRUZ;19
355670 VINHEDO;80
355680 VIRADOURO;19
355690 VISTA ALEGRE DO ALTO;4
355695 VITORIA BRASIL;6
355700 VOTORANTIM;68
355710 VOTUPORANGA;70
355715 ZACARIAS;2
355720 CHAVANTES;9
355730 ESTIVA GERBI;3
